Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Rating,Normal_Global_Sale,Platform_General,Year_Label,Scaled_Normal_Global_Sale,Normal_Global_Sale_Class
NHL 16,PS4,2015.0,Sports,Electronic Arts,0.36,0.16,0.0,0.11,0.63,E10+,0.10001264104002025,Sony_Playstation,3,0.0363913185885762,High
Cabela's Big Game Hunter (2008),Wii,2007.0,Sports,Activision,0.58,0.0,0.0,0.05,0.63,T,0.07685866084937194,Nintendo,1,0.027788999918753193,Average
Tony Hawk's Project 8,PS3,2006.0,Sports,Activision,0.3,0.22,0.01,0.1,0.63,T,0.10677213613822403,Sony_Playstation,1,0.038902650567055684,High
Ghostbusters: The Video Game,X360,2009.0,Action,Atari,0.43,0.14,0.0,0.06,0.63,T,0.08699471736123336,Microsoft_Xbox,2,0.03155481415252296,High
Tony Hawk's American Wasteland,XB,2005.0,Sports,Activision,0.4,0.2,0.0,0.03,0.62,T,0.08317174232954573,Microsoft_Xbox,1,0.03013447738024584,High
Madden NFL 07,GC,2006.0,Sports,Electronic Arts,0.48,0.13,0.0,0.02,0.62,E,0.07691269334950258,Nintendo,1,0.027809074427793273,Average
LEGO Jurassic World,3DS,2015.0,Action,Warner Bros. Interactive Entertainment,0.31,0.23,0.03,0.05,0.62,E10+,0.10602163374776236,Nintendo,3,0.0386238189937341,High
Tiger Woods PGA Tour 2004,XB,2003.0,Sports,Electronic Arts,0.47,0.13,0.0,0.02,0.62,E,0.07588176551445103,Microsoft_Xbox,0,0.02742605735298874,Average
LEGO Pirates of the Caribbean: The Video Game,3DS,2011.0,Action,Disney Interactive Studios,0.29,0.27,0.0,0.06,0.62,E10+,0.09316394637098716,Nintendo,2,0.03384684660016465,High
Viewtiful Joe,GC,2003.0,Action,Capcom,0.38,0.1,0.12,0.02,0.62,T,0.1440408376592567,Nintendo,0,0.05274896313425426,High
Strike Force Bowling,PS2,2004.0,Sports,Play It,0.3,0.24,0.0,0.08,0.62,E,0.09626645461094341,Sony_Playstation,0,0.03499951082187089,High
Red Steel 2,Wii,2010.0,Shooter,Ubisoft,0.35,0.2,0.01,0.06,0.62,T,0.0951053260726105,Nintendo,2,0.03456812072733329,High
Mafia III,XOne,2016.0,Action,Take-Two Interactive,0.28,0.29,0.0,0.05,0.62,M,0.09188962136042461,Microsoft_Xbox,3,0.033373401009405605,High
Prince of Persia: The Forgotten Sands,X360,2010.0,Action,Ubisoft,0.3,0.26,0.0,0.06,0.62,T,0.09261008815215598,Microsoft_Xbox,2,0.033641073559976475,High
Warriors Orochi 3,PS3,2011.0,Action,Ubisoft Annecy,0.0,0.04,0.57,0.01,0.62,T,0.4001630724029169,Sony_Playstation,2,0.14790517660385252,High
Tiger Woods PGA Tour 12: The Masters,X360,2011.0,Sports,Electronic Arts,0.4,0.16,0.0,0.05,0.62,E,0.08365853668056773,Microsoft_Xbox,2,0.03031533441215486,High
Harry Potter and the Half-Blood Prince,DS,2009.0,Action,Electronic Arts,0.2,0.34,0.0,0.07,0.61,E,0.09839206751597876,Nintendo,2,0.03578923247781268,High
2014 FIFA World Cup Brazil,PS3,2014.0,Sports,Electronic Arts,0.15,0.36,0.01,0.09,0.61,E,0.11008225408353253,Sony_Playstation,3,0.04013244730894562,High
NBA 2K9,PS3,2008.0,Sports,Take-Two Interactive,0.56,0.0,0.0,0.05,0.61,E,0.07479680517926886,Sony_Playstation,1,0.027022965769144137,Average
SpongeBob's Atlantis SquarePantis,Wii,2007.0,Action,THQ,0.56,0.0,0.0,0.04,0.61,E,0.07138383589599241,Nintendo,1,0.02575495702320423,Average
NFL Fever 2003,XB,2002.0,Sports,Microsoft Game Studios,0.46,0.13,0.0,0.02,0.61,E,0.07485083767939948,Microsoft_Xbox,0,0.027043040278184213,Average
Samurai Warriors 2,PS2,2006.0,Action,Tecmo Koei,0.02,0.02,0.57,0.01,0.61,T,0.39905535596525454,Sony_Playstation,1,0.1474936305234762,High
Wet,PS3,2009.0,Shooter,Bethesda Softworks,0.22,0.27,0.01,0.11,0.61,M,0.10986161301050174,Sony_Playstation,2,0.04005047328952285,High
Scribblenauts: Unlimited,3DS,2012.0,Action,Warner Bros. Interactive Entertainment,0.56,0.01,0.0,0.05,0.61,E10+,0.0763815912331516,Nintendo,2,0.027611755884136842,Average
Plants vs. Zombies: Garden Warfare,PS4,2014.0,Shooter,Electronic Arts,0.21,0.29,0.01,0.1,0.61,E10+,0.10858728799993919,Sony_Playstation,3,0.03957702769876382,High
Metroid Prime: Trilogy,Wii,2009.0,Shooter,Nintendo,0.42,0.05,0.0,0.14,0.61,T,0.09900446930744888,Nintendo,2,0.03601675601030341,High
Robotech: Battlecry,PS2,2002.0,Shooter,TDK Mediactive,0.3,0.23,0.0,0.08,0.61,T,0.0946816685570607,Sony_Playstation,0,0.034410720706878194,High
Disney Universe,PS3,2011.0,Action,Disney Interactive Studios,0.3,0.22,0.0,0.09,0.61,E10+,0.09650985178645442,Sony_Playstation,2,0.03508993933782541,High
Time Crisis 3,PS2,2003.0,Shooter,Namco Bandai Games,0.3,0.23,0.0,0.08,0.61,T,0.0946816685570607,Sony_Playstation,0,0.034410720706878194,High
Vanquish,PS3,2010.0,Shooter,Sega,0.21,0.21,0.11,0.08,0.61,M,0.15757621168725597,Sony_Playstation,2,0.05777771411984606,High
Half-Life 2,XB,2005.0,Shooter,Electronic Arts,0.37,0.21,0.0,0.03,0.61,M,0.08166374487827381,Microsoft_Xbox,1,0.02957421627082495,Average
Tony Hawk: RIDE,X360,2009.0,Sports,Activision,0.46,0.1,0.0,0.05,0.61,E10+,0.08033538736758065,Microsoft_Xbox,2,0.029080696171025842,Average
Borderlands: The Pre-Sequel,PS3,2014.0,Shooter,Take-Two Interactive,0.26,0.21,0.05,0.1,0.61,M,0.12846089901810773,Sony_Playstation,3,0.04696060208600633,High
Major League Baseball 2K8,X360,2008.0,Sports,Bethesda Softworks,0.56,0.0,0.0,0.05,0.61,E,0.07479680517926886,Microsoft_Xbox,1,0.027022965769144137,Average
pro evolution soccer 2011,X360,2010.0,Sports,Konami Digital Entertainment,0.09,0.44,0.0,0.07,0.61,E,0.10289972186923901,Microsoft_Xbox,2,0.03746394580488986,High
Major League Baseball 2K9,X360,2009.0,Sports,Spike,0.56,0.0,0.0,0.05,0.61,E,0.07479680517926886,Microsoft_Xbox,2,0.027022965769144137,Average
Madden NFL 2003,GBA,2002.0,Sports,Electronic Arts,0.44,0.16,0.0,0.01,0.61,E,0.0741303708876681,Nintendo,0,0.02677536772761334,Average
Harry Potter and the Goblet of Fire,GBA,2005.0,Action,Electronic Arts,0.44,0.16,0.0,0.01,0.61,E,0.0741303708876681,Nintendo,1,0.02677536772761334,Average
Dragon Ball Z: Buu's Fury,GBA,2004.0,Action,Atari,0.44,0.16,0.0,0.01,0.61,E,0.0741303708876681,Nintendo,0,0.02677536772761334,Average
Madden NFL 2002,GC,2001.0,Sports,Electronic Arts,0.47,0.12,0.0,0.02,0.61,E,0.0742969794605683,Nintendo,0,0.02683726723799604,Average
Spider-Man: Mysterio's Menace,GBA,2001.0,Action,Activision,0.43,0.16,0.0,0.01,0.61,E,0.07309944305261656,Nintendo,0,0.026392350652808812,Average
Cabela's Monster Buck Hunter,Wii,2010.0,Sports,Activision,0.57,0.0,0.0,0.03,0.61,T,0.0690017944477675,Nintendo,2,0.024869965352068844,Average
Tony Hawk's Underground,GBA,2003.0,Sports,Activision,0.43,0.16,0.0,0.01,0.6,E,0.07309944305261656,Nintendo,0,0.026392350652808812,Average
Aliens: Colonial Marines,PS3,2013.0,Shooter,Sega,0.2,0.29,0.0,0.11,0.6,M,0.10412001437967094,Sony_Playstation,3,0.03791731688660883,High
Yakuza: Dead Souls,PS3,2011.0,Shooter,Sega,0.09,0.06,0.42,0.03,0.6,M,0.31669720756530195,Sony_Playstation,2,0.11689539074960302,High
Dead Island: Riptide,PS3,2013.0,Action,Deep Silver,0.26,0.19,0.07,0.09,0.6,M,0.1355769877640521,Sony_Playstation,3,0.04960441807666175,High
Kinect Sports Rivals,XOne,2014.0,Sports,Microsoft Game Studios,0.3,0.23,0.02,0.05,0.6,E10+,0.09814139084421765,Microsoft_Xbox,3,0.0356960994356392,High
NBA 2K8,PS2,2007.0,Sports,Take-Two Interactive,0.5,0.02,0.0,0.08,0.6,E,0.08201971812655437,Sony_Playstation,1,0.029706469788122084,Average
Dynasty Warriors 8,PS3,2013.0,Action,Tecmo Koei,0.12,0.1,0.34,0.05,0.6,T,0.2781605533045952,Sony_Playstation,3,0.1025780000595443,High
Disney Infinity,WiiU,2013.0,Action,Disney Interactive Studios,0.33,0.22,0.0,0.05,0.6,E10+,0.08595075815850325,Nintendo,3,0.03116695557847935,High
Call of Juarez: Bound in Blood,X360,2009.0,Shooter,Ubisoft,0.3,0.24,0.0,0.06,0.6,M,0.08944051604439052,Microsoft_Xbox,2,0.03246349332999107,High
Jaws Unleashed,PS2,2006.0,Action,THQ,0.5,0.02,0.0,0.08,0.6,M,0.08201971812655437,Sony_Playstation,1,0.029706469788122084,Average
Half-Life,PS2,2001.0,Shooter,Vivendi Games,0.29,0.23,0.0,0.08,0.6,M,0.09365074072200916,Sony_Playstation,0,0.03402770363207367,High
The Golden Compass,DS,2007.0,Action,Sega,0.28,0.25,0.0,0.06,0.6,E10+,0.08896344642817015,Nintendo,1,0.032286249295374714,High
Okami,Wii,2008.0,Action,Capcom,0.43,0.09,0.04,0.05,0.6,T,0.10305507808251589,Nintendo,1,0.03752166476478102,High
LEGO The Hobbit,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.13,0.38,0.0,0.09,0.6,E10+,0.10434065545270176,Sony_Playstation,3,0.0379992909060316,High
WWE 2K17,PS4,2016.0,Sports,Take-Two Interactive,0.17,0.34,0.0,0.09,0.6,T,0.10212522257737704,Sony_Playstation,3,0.03717619874527892,High
NHL 15,PS4,2014.0,Sports,Electronic Arts,0.31,0.19,0.0,0.1,0.6,E10+,0.09619939074313424,Sony_Playstation,3,0.03497459481359175,High
Major League Baseball 2K7,PS2,2007.0,Sports,Spike,0.29,0.23,0.0,0.08,0.6,E,0.09365074072200916,Sony_Playstation,1,0.03402770363207367,High
FIFA 15,PSV,2014.0,Sports,Electronic Arts,0.08,0.35,0.05,0.12,0.59,E,0.13891714130809094,Sony_Playstation,3,0.050845373841302416,High
Tony Hawk: RIDE,PS3,2009.0,Sports,Activision,0.38,0.14,0.0,0.07,0.59,E10+,0.08525304746925208,Sony_Playstation,2,0.030907737524440218,High
Medal of Honor: Frontline,GC,2002.0,Shooter,Electronic Arts,0.46,0.12,0.0,0.02,0.59,T,0.07326605162551676,Nintendo,0,0.026454250163191514,Average
Dead Space,PC,2008.0,Action,Electronic Arts,0.0,0.53,0.0,0.06,0.59,M,0.10447147655544319,PC,1,0.038047894420643484,High
NHL 11,PS3,2010.0,Sports,Electronic Arts,0.4,0.12,0.0,0.07,0.59,E10+,0.08414533103158972,Sony_Playstation,2,0.030496191444063882,High
Yakuza 5,PS3,2012.0,Action,Sega,0.0,0.0,0.59,0.0,0.59,M,0.40410958904109584,Sony_Playstation,2,0.14937141236452256,High
2002 FIFA World Cup,PS2,2002.0,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59,E,0.17865770424763794,Sony_Playstation,0,0.06561004858444727,High
MVP Baseball 2004,XB,2004.0,Sports,Electronic Arts,0.44,0.13,0.0,0.02,0.59,E,0.07278898200929639,Microsoft_Xbox,0,0.026277006128575153,Average
WWE 2K16,XOne,2015.0,Sports,Take-Two Interactive,0.32,0.22,0.0,0.05,0.59,T,0.08491983032345171,Microsoft_Xbox,3,0.030783938503674828,High
Assassin's Creed: Brotherhood,PC,2011.0,Action,Ubisoft,0.15,0.34,0.0,0.1,0.59,M,0.10347633619055038,PC,2,0.03767817334160977,High
Dead or Alive Xtreme Beach Volleyball,XB,2003.0,Sports,Microsoft Game Studios,0.36,0.08,0.14,0.02,0.59,M,0.15250804001837448,Microsoft_Xbox,0,0.055894753721240545,High
Silent Hill: Shattered Memories,PS2,2010.0,Action,Konami Digital Entertainment,0.13,0.22,0.01,0.23,0.59,M,0.13361496362494157,Sony_Playstation,2,0.0488754739925975,High
Metal Gear Solid V: Ground Zeroes,PS3,2014.0,Action,Konami Digital Entertainment,0.14,0.12,0.27,0.05,0.59,M,0.23544677560301167,Sony_Playstation,3,0.08670869705610619,High
Ben 10: Alien Force,PSP,2008.0,Action,Koch Media,0.35,0.13,0.0,0.1,0.59,E10+,0.09081438576004408,Sony_Playstation,1,0.032973922422853665,High
Naruto: The Broken Bond,X360,2008.0,Action,Ubisoft,0.24,0.28,0.0,0.06,0.59,T,0.08959409324961215,Microsoft_Xbox,1,0.0325205513411347,High
Iron Man,Wii,2008.0,Action,Sega,0.3,0.22,0.0,0.06,0.59,T,0.08627094393662507,Nintendo,1,0.031285913100005676,High
Mega Man X7,PS2,2003.0,Action,Capcom,0.22,0.17,0.14,0.06,0.58,E,0.16599000194570318,Sony_Playstation,0,0.06090366069267107,High
Deus Ex: Human Revolution,PC,2011.0,Shooter,Square Enix,0.25,0.25,0.0,0.08,0.58,M,0.0926966014895684,PC,2,0.03367321556284094,High
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,PS2,2008.0,Action,THQ,0.29,0.22,0.0,0.07,0.58,E,0.08865298538484997,Sony_Playstation,1,0.032170904771141054,High
LEGO Indiana Jones 2: The Adventure Continues,PSP,2009.0,Action,Activision,0.21,0.23,0.0,0.14,0.58,E10+,0.10588113374125549,Sony_Playstation,2,0.03857161950927689,High
Lost: Via Domus,X360,2008.0,Action,Ubisoft,0.18,0.34,0.0,0.07,0.58,T,0.09633021184587567,Microsoft_Xbox,1,0.03502319832820363,High
Top Spin 3,Wii,2008.0,Action,Take-Two Interactive,0.15,0.37,0.0,0.07,0.58,E,0.0979917865023692,Nintendo,1,0.03564051744876814,High
Call of Duty: Black Ops,DS,2010.0,Shooter,Activision,0.5,0.04,0.0,0.04,0.58,T,0.07153741310121403,Nintendo,2,0.025812015034347848,Average
NCAA Football 09,PS3,2008.0,Sports,Electronic Arts,0.54,0.0,0.0,0.04,0.58,E,0.06932198022588931,Sony_Playstation,1,0.02498892287359517,Average
MLB 11: The Show,PS3,2011.0,Sports,Sony Computer Entertainment,0.54,0.0,0.0,0.04,0.58,E,0.06932198022588931,Sony_Playstation,2,0.02498892287359517,Average
Terminator 3: Rise of the Machines,PS2,2003.0,Action,Atari,0.28,0.22,0.0,0.07,0.58,T,0.08762205754979843,Sony_Playstation,0,0.03178788769633653,High
Tom Clancy's HAWX,X360,2009.0,Action,Ubisoft,0.31,0.19,0.02,0.06,0.58,T,0.09624614374701473,Microsoft_Xbox,2,0.03499196479641284,High
NBA 2K7,X360,2006.0,Sports,Take-Two Interactive,0.53,0.0,0.0,0.04,0.58,E,0.06829105239083777,Microsoft_Xbox,1,0.02460590579879064,Average
NHL 12,PS3,2011.0,Sports,Electronic Arts,0.36,0.15,0.0,0.07,0.58,E10+,0.0847759778530317,Sony_Playstation,2,0.03073049348982386,High
Prince of Persia: The Two Thrones,XB,2005.0,Action,Ubisoft,0.33,0.22,0.0,0.03,0.58,M,0.07912481959195035,Microsoft_Xbox,1,0.02863093808659953,Average
FIFA Soccer 10,DS,2009.0,Sports,Electronic Arts,0.14,0.37,0.0,0.07,0.58,E,0.09696085866731766,Nintendo,2,0.03525750037396361,High
Contra: Shattered Soldier,PS2,2002.0,Shooter,Konami Digital Entertainment,0.28,0.22,0.0,0.07,0.58,T,0.08762205754979843,Sony_Playstation,0,0.03178788769633653,High
FIFA Soccer,PSV,2012.0,Sports,Electronic Arts,0.16,0.32,0.02,0.08,0.58,E,0.10821038348826989,Sony_Playstation,2,0.03943699766112982,High
Tony Hawk's Pro Skater 4,GC,2002.0,Sports,Activision,0.45,0.12,0.0,0.02,0.58,T,0.0722351237904652,Nintendo,0,0.02607123308838698,Average
Naruto: Uzumaki Chronicles 2,PS2,2006.0,Action,Namco Bandai Games,0.28,0.22,0.0,0.07,0.58,T,0.08762205754979843,Sony_Playstation,1,0.03178788769633653,High
NHL 06,PS2,2005.0,Sports,Electronic Arts,0.48,0.02,0.0,0.08,0.58,E10+,0.07995786245645128,Sony_Playstation,1,0.028940435638513028,Average
Skate it,Wii,2008.0,Sports,Electronic Arts,0.5,0.03,0.0,0.04,0.58,E,0.0699526270473313,Nintendo,1,0.025223224919355147,Average
Pro Evolution Soccer 2015,PS3,2014.0,Sports,Konami Digital Entertainment,0.1,0.2,0.22,0.06,0.58,E,0.213167746634678,Sony_Playstation,3,0.07843144600631775,High
NCAA Football 10,PS2,2009.0,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.58,E,0.08762205754979843,Sony_Playstation,2,0.03178788769633653,High
Phineas and Ferb: Across the 2nd Dimension,Wii,2011.0,Action,Disney Interactive Studios,0.35,0.18,0.0,0.05,0.57,E10+,0.08167346961307545,Nintendo,2,0.029577829268117615,Average
Far Cry Instincts,XB,2005.0,Shooter,Ubisoft,0.32,0.24,0.0,0.02,0.57,M,0.0778504945813878,Microsoft_Xbox,1,0.028157492495840493,Average
Tony Hawk's Pro Skater 4,GBA,2002.0,Sports,Activision,0.41,0.15,0.0,0.01,0.57,E,0.06945280132863074,Nintendo,0,0.02503752638820705,Average
Payday 2,X360,2013.0,Shooter,505 Games,0.33,0.19,0.0,0.05,0.57,M,0.08119639999685509,Microsoft_Xbox,3,0.029400585233501256,Average
Blacksite: Area 51,X360,2007.0,Shooter,Midway Games,0.29,0.22,0.0,0.06,0.57,T,0.08524001610157352,Microsoft_Xbox,1,0.030902896025201146,High
Spyro Orange: The Cortex Conspiracy,GBA,2004.0,Action,Vivendi Games,0.41,0.15,0.0,0.01,0.57,E,0.06945280132863074,Nintendo,0,0.02503752638820705,Average
Ben 10: Alien Force,PS2,2008.0,Action,Koch Media,0.22,0.02,0.0,0.33,0.57,E10+,0.13847797082702235,Sony_Playstation,1,0.050682210342093005,High
Skylanders: Spyro's Adventure,3DS,2011.0,Action,Activision,0.32,0.2,0.0,0.05,0.57,E10+,0.08175025821568627,Nintendo,2,0.029606358273689428,Average
Cabela's Dangerous Hunts 2011,Wii,2010.0,Sports,Activision,0.52,0.02,0.0,0.04,0.57,T,0.07042969666355167,Nintendo,2,0.02540046895397151,Average
Madden NFL 06,GC,2005.0,Sports,Electronic Arts,0.44,0.11,0.0,0.02,0.57,E,0.06961940990153094,Nintendo,1,0.025099425898589753,Average
Titanfall 2,XOne,2016.0,Shooter,Electronic Arts,0.37,0.15,0.0,0.05,0.57,M,0.07898096712153037,Microsoft_Xbox,3,0.028577493072748577,Average
Iron Man,X360,2008.0,Action,Sega,0.27,0.24,0.0,0.06,0.57,T,0.08634773253923589,Microsoft_Xbox,1,0.03131444210557749,High
NHL 10,PS3,2009.0,Sports,Electronic Arts,0.38,0.12,0.0,0.07,0.57,E10+,0.08208347536148664,Sony_Playstation,2,0.029730157294454825,Average
Zumba Fitness,PS3,2010.0,Sports,505 Games,0.28,0.21,0.0,0.08,0.57,E,0.08945024077919214,Sony_Playstation,2,0.03246710632728373,High
Blood Wake,XB,2001.0,Shooter,Microsoft Game Studios,0.43,0.12,0.0,0.02,0.57,T,0.0701732681203621,Microsoft_Xbox,0,0.02530519893877792,Average
Dynasty Warriors 5: Xtreme Legends,PS2,2005.0,Action,Tecmo Koei,0.11,0.08,0.35,0.03,0.57,T,0.27398342986371843,Sony_Playstation,1,0.10102608774616491,High
Rapala: We Fish,Wii,2009.0,Sports,Activision,0.52,0.01,0.0,0.04,0.57,E,0.06884491060966895,Nintendo,2,0.02481167883897881,Average
WWE 2K15,XOne,2014.0,Sports,Take-Two Interactive,0.29,0.23,0.0,0.05,0.57,T,0.0834118328721798,Microsoft_Xbox,3,0.03022367739425394,High
FIFA World Cup Germany 2006,PS2,2006.0,Sports,Electronic Arts,0.47,0.02,0.0,0.08,0.57,E,0.07892693462139974,Sony_Playstation,1,0.0285574185637085,Average
Defiance,X360,2013.0,Shooter,Trion Worlds,0.38,0.14,0.0,0.05,0.57,M,0.07842710890269919,Microsoft_Xbox,3,0.028371720032560405,Average
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,DS,2008.0,Action,THQ,0.52,0.0,0.0,0.04,0.57,E,0.06726012455578621,Nintendo,1,0.024222888723986105,Average
Doom 3 BFG Edition,PS3,2012.0,Shooter,Bethesda Softworks,0.26,0.21,0.0,0.1,0.57,M,0.09421432367564196,Sony_Playstation,2,0.0342370896695545,High
Pro Evolution Soccer 2012,PSP,2011.0,Action,Konami Digital Entertainment,0.1,0.11,0.29,0.06,0.57,E,0.2468498776291855,Sony_Playstation,2,0.09094525235441601,High
The Conduit,Wii,2009.0,Shooter,Sega,0.28,0.23,0.0,0.06,0.57,T,0.08579387432040471,Nintendo,2,0.031108669065389317,High
Disney Universe,X360,2011.0,Action,Disney Interactive Studios,0.37,0.14,0.0,0.05,0.57,E10+,0.07739618106764765,Microsoft_Xbox,2,0.02798870295775588,Average
Resident Evil Outbreak File #2,PS2,2004.0,Action,Capcom,0.19,0.15,0.17,0.05,0.57,M,0.17686262225498608,Sony_Playstation,0,0.06494312794220328,High
Top Spin 3,PS3,2008.0,Action,Take-Two Interactive,0.08,0.36,0.0,0.12,0.57,E,0.10625535201950789,Sony_Playstation,1,0.03871065153984327,High
XIII,PS2,2003.0,Shooter,Ubisoft,0.28,0.22,0.0,0.07,0.57,M,0.08762205754979843,Sony_Playstation,0,0.03178788769633653,High
Tomb Raider: Anniversary,PSP,2007.0,Action,Eidos Interactive,0.21,0.22,0.0,0.13,0.57,T,0.10088337840409631,Sony_Playstation,1,0.036714820648344276,High
Up,Wii,2009.0,Action,THQ,0.22,0.28,0.0,0.06,0.56,E10+,0.08753223757950906,Nintendo,2,0.031754517191525646,High
True Crime: Streets of LA,GC,2003.0,Action,Activision,0.44,0.11,0.0,0.02,0.56,M,0.06961940990153094,Nintendo,0,0.025099425898589753,Average
Titanfall,PC,2014.0,Shooter,Electronic Arts,0.22,0.3,0.0,0.04,0.56,M,0.0838758711207216,PC,3,0.03039607992963122,High
Arena Football,PS2,2006.0,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.56,E10+,0.08762205754979843,Sony_Playstation,1,0.03178788769633653,High
The Lord of the Rings: The Return of the King,GBA,2003.0,Action,Electronic Arts,0.4,0.15,0.0,0.01,0.56,T,0.0684218734935792,Nintendo,0,0.024654509313402524,Average
NHL Hitz 20-02,PS2,2001.0,Sports,Midway Games,0.28,0.22,0.0,0.07,0.56,E,0.08762205754979843,Sony_Playstation,0,0.03178788769633653,High
NCAA March Madness 07,PS2,2007.0,Sports,Electronic Arts,0.28,0.22,0.0,0.07,0.56,E,0.08762205754979843,Sony_Playstation,1,0.03178788769633653,High
"Warhammer 40,000: Space Marine",X360,2011.0,Shooter,THQ,0.25,0.26,0.0,0.06,0.56,M,0.08745544897689825,Microsoft_Xbox,2,0.03172598818595383,High
Top Spin 3,X360,2008.0,Action,Take-Two Interactive,0.09,0.4,0.0,0.07,0.56,E,0.09656057765370812,Microsoft_Xbox,1,0.03510878534491907,High
Cabela's Big Game Hunter 2005 Adventures,PS2,2004.0,Sports,Activision,0.28,0.21,0.0,0.07,0.56,T,0.0860372714959157,Sony_Playstation,0,0.031199097581343822,High
Battlefield 2: Modern Combat,XB,2005.0,Shooter,Electronic Arts,0.39,0.15,0.0,0.02,0.56,T,0.0708039149418041,Microsoft_Xbox,1,0.025539500984537902,Average
Tom Clancy's HAWX,PS3,2009.0,Action,Ubisoft,0.21,0.22,0.05,0.09,0.56,T,0.12147807661345625,Sony_Playstation,2,0.04436629808103647,High
All-Star Baseball 2002,PS2,2001.0,Sports,Acclaim Entertainment,0.27,0.21,0.0,0.07,0.56,E,0.08500634366086415,Sony_Playstation,0,0.0308160805065393,High
Jillian Michaels Fitness Ultimatum 2010,Wii,2009.0,Sports,Majesco Entertainment,0.51,0.01,0.0,0.04,0.56,E,0.0678139827746174,Nintendo,2,0.024428661764174284,Average
Manhunt 2,PS2,2007.0,Action,Take-Two Interactive,0.27,0.21,0.0,0.07,0.56,M,0.08500634366086415,Sony_Playstation,1,0.0308160805065393,High
Tony Hawk's Project 8,PSP,2006.0,Sports,Activision,0.41,0.07,0.0,0.07,0.56,T,0.07725232859722764,Sony_Playstation,1,0.02793525794390491,Average
Batman Begins,PS2,2005.0,Action,Electronic Arts,0.27,0.21,0.0,0.07,0.56,T,0.08500634366086415,Sony_Playstation,1,0.0308160805065393,High
Tony Hawk's Proving Ground,X360,2007.0,Sports,Activision,0.49,0.02,0.0,0.04,0.56,T,0.06733691315839703,Microsoft_Xbox,1,0.02425141772955792,Average
Wolfenstein,X360,2009.0,Shooter,Activision,0.28,0.22,0.0,0.06,0.56,M,0.08420908826652197,Microsoft_Xbox,2,0.030519878950396616,High
ESPN NFL Football,PS2,2003.0,Sports,Sega,0.27,0.21,0.0,0.07,0.56,E,0.08500634366086415,Sony_Playstation,0,0.0308160805065393,High
Major League Baseball 2K5,XB,2005.0,Sports,Take-Two Interactive,0.52,0.02,0.0,0.02,0.56,E,0.06360375809699877,Microsoft_Xbox,1,0.02286445146209169,Average
Gravity Rush,PSV,2012.0,Action,Sony Computer Entertainment,0.21,0.17,0.09,0.08,0.56,T,0.13753843733473878,Sony_Playstation,2,0.05033314869329453,High
Quantum Break,XOne,2016.0,Action,Microsoft Game Studios,0.3,0.2,0.01,0.05,0.56,M,0.08653771761407633,Microsoft_Xbox,3,0.03138502660737074,High
TMNT,X360,2007.0,Action,Ubisoft,0.48,0.03,0.0,0.05,0.56,E10+,0.07130374066050467,Microsoft_Xbox,1,0.025725199515686,Average
Middle-Earth: Shadow of Mordor,PS3,2014.0,Action,Warner Bros. Interactive Entertainment,0.2,0.26,0.01,0.09,0.56,M,0.09938903271996301,Sony_Playstation,3,0.036159631533041275,High
Soldier of Fortune: Gold Edition,PS2,2001.0,Shooter,Codemasters,0.27,0.21,0.0,0.07,0.56,M,0.08500634366086415,Sony_Playstation,0,0.0308160805065393,High
FIFA 15,Wii,2014.0,Sports,Electronic Arts,0.15,0.37,0.0,0.04,0.56,E,0.08775287865253985,Nintendo,3,0.031836491210948406,High
Frontlines: Fuel of War,X360,2008.0,Shooter,THQ,0.34,0.15,0.01,0.05,0.56,T,0.08273749868486888,Microsoft_Xbox,1,0.029973144331625352,Average
NCAA Football 07,XB,2006.0,Sports,Electronic Arts,0.42,0.12,0.0,0.01,0.56,E,0.0657293710020341,Microsoft_Xbox,1,0.02365417311803348,Average
No More Heroes,Wii,2007.0,Action,Rising Star Games,0.29,0.17,0.04,0.05,0.55,M,0.10130037682285606,Nintendo,1,0.036869746637459205,High
God of War: Origins Collection,PS3,2011.0,Action,Sony Computer Entertainment,0.39,0.08,0.02,0.06,0.55,M,0.08706091983471713,Sony_Playstation,2,0.031579410129929375,High
Soul Reaver 2,PS2,2001.0,Action,Eidos Interactive,0.27,0.21,0.0,0.07,0.55,M,0.08500634366086415,Sony_Playstation,0,0.0308160805065393,High
Metal Gear Solid 3: Subsistence,PS2,2005.0,Action,Konami Digital Entertainment,0.34,0.01,0.15,0.06,0.55,M,0.15985387417269128,Sony_Playstation,1,0.0586239262337326,High
Enslaved: Odyssey to the West,PS3,2010.0,Action,Namco Bandai Games,0.24,0.22,0.01,0.09,0.55,T,0.09717359984463829,Sony_Playstation,2,0.035336539372288596,High
Extermination,PS2,2001.0,Action,Sony Computer Entertainment,0.21,0.16,0.12,0.05,0.55,M,0.14626268863650616,Sony_Playstation,0,0.0535744397903532,High
