Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Rating,Normal_Global_Sale,Platform_General,Year_Label,Scaled_Normal_Global_Sale,Normal_Global_Sale_Class
FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,E,1.2678836552686223,Sony_Playstation,3,0.4702864220188491,High
Assassin's Creed III,PS3,2012.0,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,M,1.163372634854908,Sony_Playstation,2,0.43145780185486277,High
Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,M,0.7981095543913049,Microsoft_Xbox,0,0.2957528651399999,High
Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,M,0.9090710283234789,Microsoft_Xbox,2,0.33697800012665513,High
Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,M,0.9500726335226762,Microsoft_Xbox,2,0.3522111855657713,High
Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,M,0.8881004254065044,Microsoft_Xbox,2,0.3291868641100927,High
Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,E10+,0.8729010773144961,Microsoft_Xbox,2,0.32353990256030996,High
Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,M,0.915611594214239,Microsoft_Xbox,1,0.33940799408924904,High
FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,E,1.1101003989726903,Sony_Playstation,3,0.41166575117763593,High
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,M,1.4127435157728652,Sony_Playstation,0,0.5241057080449686,High
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,M,1.3904890677461033,Sony_Playstation,1,0.5158375894679068,High
The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,M,1.1236017489560337,Sony_Playstation,3,0.41668186132687235,High
